zone,vehicle,age,bonus,duration,nbclaim,totalclaim
1,1,1,1,34.58082,2,75367
1,1,1,2,14.419177,2,165000
1,1,1,3,8.843836,1,10000
1,1,2,1,41.769864,1,11000
1,1,2,2,30.139726,3,147723
1,1,2,3,75.999998,4,272588
1,1,3,1,32.287672,1,4663
1,1,3,2,17.139725,2,141400
1,1,3,3,102.473972,7,427343
1,1,4,1,325.213691,4,146510
1,1,4,2,122.953425,1,4039
1,1,4,3,759.769862,24,653862
1,2,1,1,53.583564,2,28973
1,2,1,2,23.980823,1,57944
1,2,1,3,14.630137,2,111343
1,2,2,1,59.147947,0,0
1,2,2,2,34.772602,4,86451
1,2,2,3,82.320544,2,3390
1,2,3,1,16.816439,1,9825
1,2,3,2,18.945205,0,0
1,2,3,3,72.60548,0,0
1,2,4,1,242.567121,2,62482
1,2,4,2,194.799997,3,442430
1,2,4,3,640.38082,5,207640
1,3,1,1,366.380832,13,83400
1,3,1,2,101.63288,4,83056
1,3,1,3,60.446575,8,196998
1,3,2,1,360.709591,5,67980
1,3,2,2,219.906849,7,115441
1,3,2,3,339.613696,10,225718
1,3,3,1,339.189048,3,61126
1,3,3,2,149.673968,2,8026
1,3,3,3,539.271228,5,98126
1,3,4,1,1255.545191,6,44749
1,3,4,2,707.597275,5,187677
1,3,4,3,2642.980825,25,568896
2,1,1,1,49.736981,1,8592
2,1,1,2,25.413699,2,122430
2,1,1,3,34.224655,2,90001
2,1,2,1,37.399998,2,25889
2,1,2,2,35.336985,2,10000
2,1,2,3,100.301371,6,439953
2,1,3,1,45.512331,2,158875
2,1,3,2,19.164381,0,0
2,1,3,3,85.052051,1,6206
2,1,4,1,282.095895,1,456
2,1,4,2,122.427396,3,368617
2,1,4,3,760.583573,13,174298
2,2,1,1,69.827395,5,69224
2,2,1,2,32.200001,4,62501
2,2,1,3,26.071233,1,11400
2,2,2,1,42.816442,1,2122
2,2,2,2,39.819178,1,1570
2,2,2,3,111.695884,2,8029
2,2,3,1,28.032877,1,68000
2,2,3,2,24.723289,0,0
2,2,3,3,77.356163,1,8000
2,2,4,1,223.641094,2,27358
2,2,4,2,163.517809,2,8379
2,2,4,3,661.219174,2,26804
2,3,1,1,435.189036,11,185636
2,3,1,2,115.641097,3,65429
2,3,1,3,65.386302,2,25640
2,3,2,1,393.986299,5,49165
2,3,2,2,187.394519,2,37231
2,3,2,3,415.964381,13,234439
2,3,3,1,358.630118,1,8000
2,3,3,2,166.273971,1,5426
2,3,3,3,595.48493,6,65944
2,3,4,1,1533.961642,3,19520
2,3,4,2,760.879456,2,7253
2,3,4,3,3549.610952,17,120241
3,1,1,1,106.484934,1,20500
3,1,1,2,56.772607,4,31884
3,1,1,3,43.186302,3,85354
3,1,2,1,57.969861,1,11765
3,1,2,2,44.197259,4,203280
3,1,2,3,218.323289,7,273125
3,1,3,1,82.789041,1,68000
3,1,3,2,29.263013,0,0
3,1,3,3,238.336988,2,176780
3,1,4,1,732.194527,0,0
3,1,4,2,324.758914,1,1906
3,1,4,3,2026.871211,17,450954
3,2,1,1,204.156158,4,54129
3,2,1,2,81.90685,2,31464
3,2,1,3,54.630138,1,21763
3,2,2,1,70.172604,3,150259
3,2,2,2,59.583561,1,3951
3,2,2,3,215.038351,7,243816
3,2,3,1,70.084934,1,50000
3,2,3,2,25.317808,0,0
3,2,3,3,210.010955,1,31701
3,2,4,1,523.931512,0,0
3,2,4,2,463.997259,2,6641
3,2,4,3,2006.186288,13,201615
3,3,1,1,1299.797255,23,152137
3,3,1,2,305.97534,3,7951
3,3,1,3,181.80548,3,27218
3,3,2,1,720.67945,5,78236
3,3,2,2,368.852061,2,24928
3,3,2,3,861.008221,12,456425
3,3,3,1,1056.410944,2,44302
3,3,3,2,373.646582,2,7815
3,3,3,3,1727.16712,9,146699
3,3,4,1,4784.772591,8,61538
3,3,4,2,2477.421922,10,69950
3,3,4,3,10524.79174,41,578543
4,1,1,1,9.698631,1,68000
4,1,1,2,8.898629,0,0
4,1,1,3,3.32055,1,7585
4,1,2,1,8.942465,0,0
4,1,2,2,6.150685,0,0
4,1,2,3,9.632876,0,0
4,1,3,1,8.961644,0,0
4,1,3,2,2.589041,0,0
4,1,3,3,19.336986,0,0
4,1,4,1,77.169864,0,0
4,1,4,2,25.2137,0,0
4,1,4,3,150.252061,1,650
4,2,1,1,16.531507,0,0
4,2,1,2,5.857534,0,0
4,2,1,3,4.389042,2,10953
4,2,2,1,8.986302,1,68000
4,2,2,2,5.816438,0,0
4,2,2,3,15.172603,0,0
4,2,3,1,12.6,0,0
4,2,3,2,1.887672,0,0
4,2,3,3,8.369865,0,0
4,2,4,1,77.235615,0,0
4,2,4,2,41.882192,0,0
4,2,4,3,124.241095,2,7495
4,3,1,1,114.641092,0,0
4,3,1,2,22.084931,0,0
4,3,1,3,12.758905,0,0
4,3,2,1,87.641102,2,20887
4,3,2,2,23.131508,0,0
4,3,2,3,66.720544,4,74235
4,3,3,1,106.942466,0,0
4,3,3,2,25.958904,0,0
4,3,3,3,164.709588,2,18980
4,3,4,1,564.756171,0,0
4,3,4,2,263.057528,1,4740
4,3,4,3,935.693153,2,7170
